Hi. I'm Christopher Green. Please call me Chris.,やあ。私はクリストファー・グリーンです。私をクリスと読んでください。
"""Excuse me. Are you Mr. Parks?"" ""Yes, I am.""","「すいません。あなたはパークスさんですか？」「はい, そうです。」"
"""Nice to meet you."" ""Nice to meet you, too.""",「初めまして」「こちらこそよろしく」
"""How are you?"" ""Fine, thank you. And you?""","「元気ですか？」「元気です, ありがとう。あなたは？」"
Good morning.,おはよう。
Good afternoon.,こんにちは。
Good evening.,こんばんは。
Good night.,おやすみなさい。
Goodbye.,さようなら。
Welcome to Japan.,日本にようこそ。
"""Thank you."" ""You're welcome.""",「ありがとう」「どういたしまして」
This is Susan. She is my classmate.,こちらはスーザンです。彼女は私の同級生です。
We are good friends.,私たちはいい友達です。
"""What is this?"" ""It's a notebook.""",「これは何ですか？」「それはノートです」
That is your English teacher.,あれがあなたの英語の先生です。
"""Is he an American?"" ""No, he isn't""","「彼はアメリカ人ですか？」「いいえ, 違います」"
"""Where is he from?"" ""He is from Canada.""",「彼はどこの出身ですか？」「彼はカナダ出身です」
"""Where do you come from?"" ""I come from India.""",「あなたはどこの出身ですか？」「インド出身です」
This is a picture of my family.,これは私の家族の写真です。
"""Is this your father?"" ""No. That is my brother.""",「こちらはあなたのお父さんですか？」「いいえ。それは私の兄です」
"""Who is this girl?"" ""She is my sister.""",「この女の子は誰ですか？」「彼女は私の妹です」
Her name is Jane.,彼女の名前はジェーンです。
I have a son and a daughter. They are not in London now.,私には息子と娘がいます。彼らは今ロンドンにいません。
Their mother is a doctor.,彼らの母親は医者です。
"""Is that his bag?"" ""No, it isn't. It's mine.""","「あれは彼のかばんですか？」「いいえ, 違います。それは私のものです。」"
"""These are our bags. Are those yours?"" ""Yes, they are.""","「これらは私たちのカバンです。それらはあなたのものですか？」「はい, そうです」"
"""Whose car is this?"" ""It's my parents.' """,「これは誰の車ですか？」「それは私の親のものです」
His house is next to hers.,彼の家は彼女の家の隣です。
My phone number is 1234-56789.,私の電話番号は 1234-56789 です。
"""How much is this book?"" ""It's twelve dollars.""",「この本はいくらですか？」「12 ドルです」
"""What time is it?"" ""It is about three o'clock.""",「今何時ですか？」「3 時ごろです」
School starts at 8:20.,学校は 8 時 20 分に始まります。
